"match_id","time","home_fault","card","away_fault"
145632,"45","","yellow card","Robinho"
145632,"47","","yellow card","Bjarsmyr M."
145632,"78","Yildirim M.","yellow card",""
145632,"78","","yellow card","Medjani C."
145632,"82","Turan A.","yellow card",""
145632,"89","","yellow card","Kilinc E."
145633,"45","","yellow card","Mariano"
145633,"75","Farnolle F.","yellow card",""
145633,"78","Ildiz A.","yellow card",""
145634,"29","Kaldirim H. A.","yellow card",""
145634,"41","Koybasi I.","yellow card",""
145634,"48","Skrtel M.","yellow card",""
145634,"54","","yellow card","Bifouma T."
145634,"64","","yellow card","Ozer K."
145634,"71","Slimani I.","red card",""
145634,"72","","yellow card","Faty R."
145634,"73","Benzia Y.","yellow card",""
145634,"75","","yellow card","Ozgenc E."
145634,"84","","yellow card","Kanatsizkus K."
145635,"32","Ildiz M.","yellow card",""
145635,"33","","yellow card","Sahinturk S."
145635,"39","","yellow card","Yilmaz O."
145635,"48","","yellow card","Cevahir B."
145635,"49","","yellow card","Glumac T."
145635,"67","Husmani Z.","yellow card",""
145635,"70","Landel G.","yellow card",""
145636,"18","","yellow card","Ozturk E."
145636,"36","","yellow card","Traore H."
145636,"62","","yellow card","Guzel G."
145636,"83","","yellow card","Pote M."
145636,"90+5","","red card","Ozturk E."
145637,"27","","yellow card","Yildirim M."
145637,"32","","yellow card","Cajic A."
145637,"72","Erdogan T.","yellow card",""
145637,"82","Kilicarslan E.","yellow card",""
145637,"83","","yellow card","Akaminko J."
145637,"90","","yellow card","Ergun O."
145638,"52","Eser B.","yellow card",""
145638,"73","","yellow card","Osmanoglu S."
145638,"90+3","","yellow card","Yilmaz S."
145638,"90+3","Curuksu N.","yellow card",""
145697,"45","Lucas","yellow card",""
145697,"53","","yellow card","Laporte A."
145697,"61","","yellow card","Fernandinho"
145697,"90+4","Davies B.","yellow card",""
145698,"19","","yellow card","Brozovic M."
145698,"26","","yellow card","Asamoah K."
145698,"31","Immobile C.","yellow card",""
145698,"48","Radu S.","yellow card",""
145698,"49","","yellow card","Vrsaljko S."
145698,"71","Cataldi D.","yellow card",""
145786,"10","","red card","Ovacikli O."
145786,"31","Quaresma R.","yellow card",""
145786,"48","Vida D.","yellow card",""
145786,"58","Adriano","yellow card",""
145786,"61","","yellow card","Saadane M."
145786,"61","","red card","Saadane M."
145882,"47","Rico D.","yellow card",""
145882,"49","","yellow card","Zimmermann C."
145899,"24","","yellow card","Majeed W."
145899,"35","","yellow card","Evangelista L."
145899,"44","Cozza N.","yellow card",""
145899,"74","Mendes P.","red card",""
145899,"74","","yellow card","Girotto A."
145899,"84","","yellow card","Rongier V."
145900,"16","Grimm J.","yellow card",""
115600,"43","","yellow card","Criscito D."
115600,"50","Kessie F.","yellow card",""
115600,"80","","yellow card","Veloso M."
115600,"83","Rodriguez R.","yellow card",""
146088,"47","","yellow card","Kurzawa R."
146088,"89","Oukidja A.","yellow card",""
146088,"90+4","","yellow card",""
146118,"42","Herrmann P.","yellow card",""
146118,"55","","yellow card","Wendell"
146118,"58","","yellow card","Jedvaj T."
146120,"27","","yellow card","Bicakcic E."
146292,"6","","yellow card","Moi"
146292,"30","Ndockyt M.","yellow card",""
146292,"44","","yellow card","Luismi"
146292,"60","Sastre J.","yellow card",""
146540,"15","","yellow card","Llorente D."
146540,"48","","yellow card","Oyarzabal M."
146540,"64","","yellow card","Zurutuza D."
146540,"78","Mendez B.","yellow card",""
146540,"86","","yellow card","Moreno H."
146540,"90+1","","yellow card","Elustondo A."
146540,"90+4","","yellow card","Illarramendi A."
146608,"1","","yellow card","Ballo Toure F."
146608,"19","Bernat J.","yellow card",""
146608,"46","","yellow card","Mendes T."
146608,"54","Verratti M.","yellow card",""
146608,"56","","yellow card","Celik Z."
146792,"23","","yellow card","Neustadter R."
146792,"33","","yellow card","Elmas E."
146792,"59","","yellow card","Potuk A."
146792,"61","Gumus S.","yellow card",""
146792,"66","","yellow card","Isla M."
146818,"54","","yellow card","Shaw L."
